Date,AAPL,JPM,AMZN,GOOGL,NSRGY,^GSPC
2023/1/3,123.6325302,126.7098541,85.81999969,88.69595337,110.1216354,3824.139893
2023/1/4,124.9077072,127.8914337,85.13999939,87.6608963,112.2727432,3852.969971
2023/1/5,123.5830917,127.8630905,83.12000275,85.78984833,111.2820969,3808.100098
2023/1/6,128.1302338,130.3098297,86.08000183,86.92441559,112.9237442,3895.080078
2023/1/9,128.654129,129.7713623,87.36000061,87.6011734,113.6596451,3892.090088
2023/1/10,129.2274475,130.9333038,89.87000275,87.99927521,114.1313782,3919.25
2023/1/11,131.9557648,131.9063416,95.08999634,91.08452606,114.772934,3969.610107
2023/1/12,131.8766937,131.7741089,95.26999664,90.69638062,115.3107071,3983.169922
2023/1/13,133.2111511,135.09935,98.12000275,91.68167877,116.2258835,3999.090088
2023/1/17,134.377594,133.0116272,96.05000305,90.85562897,117.037262,3990.969971
2023/1/18,133.6560059,129.0156403,95.45999908,90.68643188,115.3390198,3928.860107
2023/1/19,133.7153015,127.2962723,93.68000031,92.60725403,115.6881027,3898.850098
2023/1/20,136.2854156,127.6080093,97.25,97.5535965,115.2635345,3972.610107
2023/1/23,139.4881744,129.6768951,97.51999664,99.31518555,115.5371475,4019.810059
2023/1/24,140.8918457,130.7915955,96.31999969,97.23512268,115.0465393,4016.949951
2023/1/25,140.2295532,131.4245453,97.18000031,94.76692963,115.9522781,4016.219971
2023/1/26,142.3054352,132.2369843,99.22000122,97.05597687,112.7067413,4060.429932
2023/1/27,144.2527771,132.5581665,102.2399979,98.89717865,111.9991379,4070.560059
2023/1/30,141.3564606,131.4339905,100.5500031,96.47874451,112.9520416,4017.77002
2023/1/31,142.6316376,132.2180786,103.1299973,98.36969757,115.3107071,4076.600098
2023/2/1,143.7585297,131.8685303,105.1500015,99.95214081,115.7352676,4119.209961
2023/2/2,149.0865784,131.2544861,112.9100037,107.227356,113.225647,4179.759766
2023/2/3,152.7242737,133.2855682,103.3899994,104.2814331,113.904953,4136.47998
2023/2/6,149.9861145,134.0696411,102.1800003,102.4103851,113.4426422,4111.080078
2023/2/7,152.8725739,135.7039642,102.1100006,107.1278305,112.9520416,4164
2023/2/8,150.1739349,134.7498474,100.0500031,98.89717865,113.1879044,4117.859863
2023/2/9,149.1359711,132.6526337,98.23999786,94.55792236,111.1783218,4081.5
2023/2/10,149.5023193,133.2383423,97.61000061,94.12001038,111.9897003,4090.459961
2023/2/13,152.3139954,134.6837006,99.54000092,94.15982056,113.8860703,4137.290039
2023/2/14,151.6704254,135.2788544,99.69999695,94.22949982,114.1408157,4136.129883
2023/2/15,153.7791901,135.8456726,101.1600037,96.47874451,113.3860397,4147.600098
2023/2/16,152.1753693,133.9751892,98.15000153,95.05554199,110.0084229,4090.409912
2023/2/17,151.0269318,134.3719635,97.19999695,93.90105438,111.8953552,4079.090088
2023/2/21,146.9975739,131.9063416,94.58000183,91.3532486,111.640625,3997.340088
2023/2/22,147.4233093,130.8955078,95.79000092,91.21391296,111.8104477,3991.050049
2023/2/23,147.9083862,131.9441071,95.81999969,90.45752716,110.1876831,4012.320068
2023/2/24,145.2452393,133.1344299,93.5,88.70589447,108.7819138,3970.040039
2023/2/27,146.443161,134.2964172,93.76000214,89.44238281,109.2159119,3982.23999
2023/2/28,145.9382629,135.420578,94.23000336,89.63147736,106.1590652,3970.149902
2023/3/1,143.8592224,134.6648254,92.16999817,89.93005371,106.0458527,3951.389893
2023/3/2,144.4532318,133.2666626,92.12999725,91.56224823,108.0177002,3981.350098
2023/3/3,149.5220947,135.7134399,94.90000153,93.20439148,108.4233932,4045.639893
2023/3/6,152.2941437,134.9198761,93.75,94.67734528,106.2062454,4048.419922
2023/3/7,150.0864258,130.9521942,93.55000305,93.41339874,105.1778641,3986.370117
2023/3/8,151.34375,130.1775513,93.91999817,93.80153656,105.5835571,3992.01001
2023/3/9,149.0865021,123.1302109,92.25,91.88072205,105.7911148,3918.320068
2023/3/10,147.017395,126.2571259,90.73000336,90.19876099,107.2440491,3861.590088
2023/3/13,148.9676971,123.9898758,92.43000031,90.67648315,110.0084229,3855.76001
2023/3/14,151.0665283,127.1734619,94.87999725,93.5228653,110.5650711,3919.290039
2023/3/15,151.4625244,121.1652603,96.19999695,95.65268707,109.3008194,3891.929932
2023/3/16,154.2939758,123.5175247,100.0400009,99.84265137,111.5274048,3960.280029
2023/3/17,153.4524536,118.8507843,98.94999695,101.1364746,111.0556641,3916.639893
2023/3/20,155.8285217,120.1072311,97.70999908,100.7383728,110.9141464,3951.570068
2023/3/21,157.6897278,123.3286057,100.6100006,104.4207687,110.5178909,4002.870117
2023/3/22,156.2542114,120.1450195,98.69999695,102.8781509,111.8293152,3936.969971
2023/3/23,157.3432159,119.8238144,98.70999908,105.0975342,112.3293533,3948.719971
2023/3/24,158.6500549,118.0005875,98.12999725,104.9383011,112.838829,3970.98999
2023/3/27,156.699707,121.3825531,98.04000092,101.9724731,113.0746918,3977.530029
2023/3/28,156.0760193,121.7509766,97.23999786,100.5492859,113.0369568,3971.27002
2023/3/29,159.1648712,121.996582,100.25,100.9075699,114.8861542,4027.810059
2023/3/30,160.7389984,121.6281738,102,100.4099503,114.0653305,4050.830078
2023/3/31,163.2536163,123.1018677,103.2900009,103.2364426,114.8106766,4109.310059
2023/4/3,164.5109711,122.9601669,102.4100037,103.8634338,116.0466232,4124.509766
2023/4/4,163.9763641,121.3164215,103.9499969,104.2217178,115.5843277,4100.600098
2023/4/5,162.1249847,121.4973068,101.0999985,103.9729233,117.3674774,4090.379883
2023/4/6,163.016037,121.3640289,102.0599976,107.9041138,118.6411591,4105.02002
2023/4/10,160.412262,121.7639084,102.1699982,105.9335403,118.1411133,4109.109863
2023/4/11,159.1945648,122.3637314,99.91999817,104.8487244,118.2543335,4108.939941
2023/4/12,158.5015564,122.3446732,97.83000183,104.1420975,118.4713287,4091.949951
2023/4/13,163.9070435,122.8112106,102.4000015,106.9188232,118.8487167,4146.220215
2023/4/14,163.5605469,132.0846558,102.5100021,108.3519745,118.9713669,4137.640137
2023/4/17,163.5803223,133.1319885,102.7399979,105.4657745,119.1600647,4151.319824
2023/4/18,164.8079681,134.6267395,102.3000031,104.0027618,119.7261429,4154.870117
2023/4/19,165.9563904,134.455368,104.3000031,103.684288,119.782753,4154.52002
